name,description,address,city,region,country,city tags,category,phone,email,website,instagram,status,submittedBy,latitude,longitude,GroceryAndMarket,glutenFree,dairyFree,Nut free,vegan,bio/organic,localFarms,fresh vegetables,farmRaisedMeat,NoProcessed foods,kidFriendly snacks,bulkBuying options,zeroWaste,Badges,Supplements,General Supplements,Omega-3,VeganSup,OnlineRetailer,Vitamins,HerbalRemedies,OrganicSup,SportsNutrtion,PractionerGrade,Hypoallergenic
Continente,Large supermarket chain with a wide range of fresh vegetables including local and organic selections.,"R. Alexandre Herculano 66, 1250-012 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351937780434,apoiocliente@continente.pt,continente.pt,@continente,pending,Michaele-Initial,38.72325,-9.15308,True,true,true,true,true,true,,true,,true,true,,,will do in a pinch!,,,,,,,,,,,
Continente,Large supermarket chain with a wide range of fresh vegetables including local and organic selections.,"Parque, Av. António Bernardo Cabral de Macedo, 2770-219 Oeiras, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351214468200,apoiocliente@continente.pt,continente.pt,@continente,pending,Michaele-Initial,38.70764,-9.30173,True,true,true,true,true,true,,true,,true,true,,,,,,,,,,,,,,
Continente,Large supermarket chain with a wide range of fresh vegetables including local and organic selections.,"Estr. Cavaleira 1, 2710-140 Sintra, Portugal",Sintra,Lisbon,Portugal,Sintra,grocery,+351219106940,apoiocliente@continente.pt,continente.pt,@continente,pending,Michaele-Initial,38.81482,-9.36205,True,true,true,true,true,true,,true,,true,true,,,,,,,,,,,,,,
Cria Bread Bakery,"A micro-bakery specializing in long-fermented sourdough, including gluten-free and vegan options. A neighborhood gem for clean-ingredient baking.","R. José Florindo 523, 2750-675 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351918399047,,https://www.facebook.com/criapadariaartesanal,@cria_padaria_artesanal,pending,Michaele-Initial,38.70706,-9.42676,True,true,true,true,true,,,,,,,,,,,,,,,,,,,,
Despensa No. 6,"Fully gluten-free and sugar-free bakery and café, offering a variety of pastries and brunch options.","Av. Sacadura Cabral 6A, 1000-274 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351925258744, geral@despensa6.pt,www.despensa6.pt,@despensa6,pending,Michaele-Initial,38.7475,-9.14068,True,true,true,true,true,,,,,,true,,,,,,,,,,,,,,
El Corte Ingles Supercor,"El Corte Inglés brand includes a supermarket called Supercor that stocks a variety of dairy-free and vegan products, catering to various dietary needs.","Beloura Shopping Estrada Nacional nº9 Loja A08 A12 Quinta da Beloura II, 2710-701 Sintra, Portugal",Sintra,Lisbon,Portugal,Sintra,grocery,+351213711800,serviço_clientes@elcorteingles.pt,elcorteingles.pt,@elcortesinglespt,pending,Michaele-Initial,38.77505,-9.38781,True,true,true,true,true,true,,TRUE,true,,true,,,,,,,,,,,,,,
El Corte Ingles Supermarcado,"El Corte Inglés includes a supermarket that stocks a variety of dairy-free and vegan products, catering to various dietary needs. It includes a gourmet meat section with humane and sustainably raised meats.","Av. António Augusto de Aguiar 31, 1069-413 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351213532020,serviço_clientes@elcorteingles.pt,elcorteingles.pt,@elcortesinglespt,pending,Michaele-Initial,38.73659,-9.15308,True,true,true,true,true,true,TRUE,TRUE,true,TRUE,true,true,,local favorite,,,,,,,,,,,
Fabrica Coffee,"Known for excellent espresso and organic sourdough toast, this Lisbon café is a clean-eating breakfast favorite. Cozy space for work, coffee, and health-conscious bites.","Av. Valbom 26B, 2750-355 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,,info@fabricacoffeeroasters.com,http://www.fabricacoffeeroasters.com/,@fabricacoffeeroasters,pending,Michaele-Initial,38.706,-9.41908,True,TRUE,TRUE,,TRUE,,,,,,,,,local favorite,,,,,,,,,,,
Fabrica Coffee,"Known for excellent espresso and organic sourdough toast, this Lisbon café is a clean-eating breakfast favorite. Cozy space for work, coffee, and health-conscious bites.","R. das Portas de Santo Antão 136, 1150-269 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351211399261,info@fabricacoffeeroasters.com,http://www.fabricacoffeeroasters.com/,@fabricacoffeeroasters,pending,Michaele-Initial,38.7207,-9.14067,True,TRUE,TRUE,,TRUE,true,,,,,TRUE,,,local favorite,,,,,,,,,,,
Fabrica Coffee,"Known for excellent espresso and organic sourdough toast, this Lisbon café is a clean-eating breakfast favorite. Cozy space for work, coffee, and health-conscious bites.","R. do Comércio 111, 1100-150 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351215841405,info@fabricacoffeeroasters.com,http://www.fabricacoffeeroasters.com/,@fabricacoffeeroasters,pending,Michaele-Initial,38.71233,-9.13827,True,TRUE,TRUE,,TRUE,true,,,,,TRUE,,,local favorite,,,,,,,,,,,
Fabrica Coffee,"Known for excellent espresso and organic sourdough toast, this Lisbon café is a clean-eating breakfast favorite. Cozy space for work, coffee, and health-conscious bites.","Av. Dom Carlos I 100 114, 1200-650 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351211357645,info@fabricacoffeeroasters.com,http://www.fabricacoffeeroasters.com/,@fabricacoffeeroasters,pending,Michaele-Initial,38.71391,-9.1527,True,TRUE,TRUE,,TRUE,true,,,,,TRUE,,,local favorite,,,,,,,,,,,
Fabrica Coffee,"Known for excellent espresso and organic sourdough toast, this Lisbon café is a clean-eating breakfast favorite. Cozy space for work, coffee, and health-conscious bites.","Botanic Garden - Museu Nacional de História Natural, R. da Escola Politécnica 56, 1250-102 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,,info@fabricacoffeeroasters.com,http://www.fabricacoffeeroasters.com/,@fabricacoffeeroasters,pending,Michaele-Initial,38.72084,-9.14992,True,TRUE,TRUE,,TRUE,true,,,,,TRUE,,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. Acácio de Paiva 3, 1700-003 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351927702098,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.76915,-9.14467,True,true,true,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","Rua da Ilha dos Amores 54A, 1990-377 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351910337573,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.79698,-9.09661,True,true,true,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. Biarritz 12, 2765-200 Estoril, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351913561574,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.71618,-9.39969,True,,true,,,true,,,,TRUE,true,,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","Estr. Nacional 9, 2645-543 Alcabideche, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351915391421,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.74987,-9.40079,True,,true,,,true,,,,TRUE,true,,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. José Carvalho Araújo 236 Lj RC, 2750-296 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351927711446,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.71024,-9.42414,True,,true,,,true,,,,TRUE,true,,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. José Elias Garcia 20, 2775-193 Parede, Portugal",Cascais,Lisbon,Portugal,Cascais,grocery,+351913193372,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.6888,-9.36097,True,,true,,,true,,,,TRUE,true,,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","Rua Prior do Crato 16, 1350-261 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351966064697,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.72149,-9.17489,True,,,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. Padre Francisco 43, 1350-318 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351927711391,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.73059,-9.16733,True,,,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","R. Dom Pedro V 9, 1250-092 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351915722375,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.72952,-9.14811,True,,,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","Av. Elias Garcia 80, 1050-100 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351927711817,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.75094,-9.14467,True,,,,true,true,,,,,true,true,,local favorite,,,,,,,,,,,
Gleba,"Lisbon’s cult-favorite bakery known for its artisanal sourdough breads made from locally milled, organic grains. Perfect for those seeking heritage flavor and clean ingredients.","Av. António Bernardo Cabral de Macedo 1020 / 1020A, 2770-219 Oeiras, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351966972286,geral@gleba-nossa.pt,https://mygleba.com/pt,@gleba_padaria,pending,Michaele-Initial,38.71774,-9.30329,True,,,,true,true,,,,,true,true,,,,,,,,,,,,,
Green Beans Mercado Vegan,"GreenBeans is a 100% vegan grocery store offering a fair, ethical, biological, and healthy alternative for shoppers.","R. do Poço dos Negros 15, 1200-335 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351924216519,,greenbeans.pt,@greenbeans_vegn_cafe,pending,Michaele-Initial,38.71183,-9.14977,True,true,true,true,true,true,true,true,,true,true,,,,,,,,,,,,,,
Healthy Herbal Teas by Stephanie,"Hand blended organic herbal tea blends, ceated by a certified health coach with a passion for holistic wellbeing, each blend is thoughtfully formulated to support your body's natural healing processes.","Rua Nova 75, 2765-122 Estoril, Portugal ",Cascais,Lisbon,Portugal,Cascais,grocery,,connect@stephaniefairbank.com,,@holisticby steph,pending,Michaele-Initial,38.71198,-9.37504,True,true,true,true,true,true,,,,true,,,true,,,,,,,,,,,,
Jacaranda Teas,"Blended by hand in small batches, these organic herbal teas are inspired by the Portuguese landscape and herbal traditions. Each blend is curated for balance and beauty.","Lisbon, Portugal",Cascais,Lisbon,Portugal,Lisbon,grocery,,,https://jacarandateas.com/,@jacarandateas,pending,Michaele-Initial,38.7223,–9.1393,True,true,true,true,true,true,,,,true,,,TRUE,,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","R. João Villaret 74, 2785-404 São Domingos de Rana, Portugal",Parede,Lisbon,Portugal,Parede,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.69719,-9.34364,True,true,,,,true,,,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","R. São José 102, 2750-134 Cascais, Portugal",Cascais,LIsbon,Portugal,Cascais,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.71658,-9.42115,True,true,,,,true,,,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","R. da Torre 831 nº, 2750-269 Cascais, Portugal",Cascais,Lisbon,Portugal,Cascias,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.70989,-9.44209,True,true,,,,true,,,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","Av. República 2562, 2645-565 Alcabideche, Portugal",Alchabideche,Lisbon,Portugal,Cascais,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.7431,-9.39746,True,true,,,,true,,,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","MERCADO DO FORNO DO TIJOLO, loja 37, 1170-221 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.72438,-9.13288,True,true,TRUE,,,true,,TRUE,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","R. Leão de Oliveira 19, 1300-350 Lisboa, Portugal",Lisbon,Lisbon,Portugal,Lisbon,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.70827,-9.17944,True,true,TRUE,,,true,,TRUE,,,true,,,will do in a pinch!,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","A5, 2780-000 Oeiras, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.7162,-9.28522,True,true,TRUE,,,true,,TRUE,,,true,,,,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","Praça Sérgio Vieira de Mello 22, 2740-287 Porto Salvo, Portugal",Oeiras,Lisbon,Portugal,Oeiras,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.70733,-9.30087,True,true,TRUE,,,true,,TRUE,,,true,,,,,,,,,,,,,,
Lidle,"Lidl regularly offers bulk items, bio/organic and frozen items at discount prices. You can often find organic meat and dairy products here as well.","Av. Pedro Álvares Cabral 212, 2710-297 Sintra, Portugal",Sintra,Lisbon,Portugal,Sintra,grocery,+351210207000,press@lidl.pt,lidl.pt,@lidlportugal,pending,Michaele-Initial,38.76874,-9.37617,True,true,,,,true,,,,,true,,,,,,,,,,,,,,
